datetime;open;high;low;close;volume
2024-04-25 09:30:00;151.33000;152.91000;150.87000;152.72000;7562196
2024-04-25 09:45:00;152.71001;153.48500;152.39999;152.94000;2541106
2024-04-25 10:00:00;152.94000;153.98000;152.30000;153.74451;1643346
2024-04-25 10:15:00;153.72000;154.57001;153.32001;154.52000;1944836
2024-04-25 10:30:00;154.51500;155.03000;153.91740;155.00000;1763843
2024-04-25 10:45:00;155.00000;155.03870;154.42000;154.86000;1200615
2024-04-25 11:00:00;154.83000;155.39000;154.69000;155.32730;1262384
2024-04-25 11:15:00;155.32001;155.57500;154.87000;155.56000;1054532
2024-04-25 11:30:00;155.56000;156.14000;155.30499;155.93381;1094930
2024-04-25 11:45:00;155.95219;156.19000;155.62560;156.06000;1061416
2024-04-25 12:00:00;156.04500;156.17000;155.53999;155.75999;1080310
2024-04-25 12:15:00;155.77000;156.39999;155.71001;156.06500;1424167
2024-04-25 12:30:00;156.07500;156.22000;155.64999;155.83000;1033367
2024-04-25 12:45:00;155.83000;155.97000;155.42999;155.53999;983402
2024-04-25 13:00:00;155.55000;155.72000;155.06010;155.09000;925441
2024-04-25 13:15:00;155.09000;155.55420;155.02499;155.53999;691397
2024-04-25 13:30:00;155.56000;155.75011;155.39999;155.71140;666277
2024-04-25 13:45:00;155.72000;156.17999;155.64999;156.17500;794893
2024-04-25 14:00:00;156.19000;156.47501;156.03999;156.42999;617094
2024-04-25 14:15:00;156.42000;156.49001;155.67000;155.69000;1461084
2024-04-25 14:30:00;155.67000;155.94000;155.53000;155.63000;784354
2024-04-25 14:45:00;155.62000;155.76990;155.52000;155.53999;813613
2024-04-25 15:00:00;155.53999;155.94000;155.52000;155.56000;1387357
2024-04-25 15:15:00;155.56000;156.14999;155.53000;156.14999;1868146
2024-04-25 15:30:00;156.14999;156.19000;155.67000;155.77499;1577772
2024-04-25 15:45:00;155.77499;156.22501;155.63000;156.02000;4558860
2024-04-26 09:30:00;174.37000;174.71001;171.55000;172.27499;14678289
2024-04-26 09:45:00;172.27000;173.31500;171.82001;171.95000;5066435
2024-04-26 10:00:00;171.99001;172.14500;170.52000;170.80000;4278256
2024-04-26 10:15:00;170.79010;171.36000;170.14999;170.28500;2657386
2024-04-26 10:30:00;170.28020;171.69000;169.64999;171.56000;2863804
2024-04-26 10:45:00;171.57001;172.19000;171.00999;171.95000;2275120
2024-04-26 11:00:00;171.96001;172.25999;170.80099;171.11000;2060830
2024-04-26 11:15:00;171.12000;171.86000;170.67000;171.63000;1489739
2024-04-26 11:30:00;171.63000;172.44839;171.36000;172.43930;1506184
2024-04-26 11:45:00;172.45000;172.64999;171.75000;171.95000;1798031
2024-04-26 12:00:00;171.95000;172.20000;171.64000;172.10001;1570657
2024-04-26 12:15:00;172.09000;172.23000;171.53999;172.18990;1032064
2024-04-26 12:30:00;172.19170;172.53799;171.81500;171.81500;1087747
2024-04-26 12:45:00;171.82001;172.12000;171.66000;172.07500;778845
2024-04-26 13:00:00;172.08000;172.33000;172.03090;172.27499;834414
2024-04-26 13:15:00;172.27000;172.50500;171.85291;172.12500;882028
2024-04-26 13:30:00;172.14500;172.50000;171.89000;171.96001;937474
2024-04-26 13:45:00;171.96500;172.33000;171.89000;172.22000;1130709
2024-04-26 14:00:00;172.21001;172.32001;170.86000;170.87000;1360922
2024-04-26 14:15:00;170.86000;171.30980;170.58000;170.64999;1494905
2024-04-26 14:30:00;170.66000;171.27000;170.62601;171.03600;1267101
2024-04-26 14:45:00;171.03500;171.37000;170.92000;171.32001;1104626
2024-04-26 15:00:00;171.32001;171.96001;171.22000;171.88000;1269398
2024-04-26 15:15:00;171.86000;172.17000;171.67999;171.97501;1565532
2024-04-26 15:30:00;171.97000;172.25000;171.81500;172.03000;1767868
2024-04-26 15:45:00;172.03000;172.14000;171.73000;171.92000;3554891
2024-04-29 09:30:00;169.05800;169.54500;167.42000;167.60001;5947443
2024-04-29 09:45:00;167.67999;168.80000;167.07500;168.60400;3017250
2024-04-29 10:00:00;168.59000;168.75999;167.81860;167.89999;1780653
2024-04-29 10:15:00;167.89999;168.70700;167.87000;168.13000;1631294
2024-04-29 10:30:00;168.11000;168.89999;167.99001;168.63000;1484678
2024-04-29 10:45:00;168.62000;168.64999;167.89999;167.99001;1372604
2024-04-29 11:00:00;167.98000;168.20500;167.54530;167.69000;1421825
2024-04-29 11:15:00;167.69000;167.73000;166.99001;167.30690;1375954
2024-04-29 11:30:00;167.31000;167.42000;166.66000;167.42000;1347631
2024-04-29 11:45:00;167.39999;167.58000;167.21001;167.37000;1205562
2024-04-29 12:00:00;167.36459;167.58501;166.97000;167.00000;1585137
2024-04-29 12:15:00;167.00850;167.13000;166.69000;167.08000;990396
2024-04-29 12:30:00;167.08000;167.12000;166.58000;167.01500;718588
2024-04-29 12:45:00;167.02000;167.18600;166.84000;166.92990;791918
2024-04-29 13:00:00;166.92999;166.95500;166.39999;166.71001;875003
2024-04-29 13:15:00;166.72000;166.96130;166.42999;166.91640;649498
2024-04-29 13:30:00;166.91000;167.23000;166.80000;167.20000;592400
2024-04-29 13:45:00;167.19501;167.28999;166.85001;167.03000;590827
2024-04-29 14:00:00;167.03000;167.03000;166.58501;166.70000;628252
2024-04-29 14:15:00;166.69000;166.86000;166.47009;166.48000;662151
2024-04-29 14:30:00;166.48700;166.52499;166.02000;166.39500;806653
2024-04-29 14:45:00;166.39000;166.53999;166.07001;166.08000;831337
2024-04-29 15:00:00;166.08000;166.10001;165.21001;165.36020;1619056
2024-04-29 15:15:00;165.38000;166.00000;165.33501;165.87000;1139034
2024-04-29 15:30:00;165.87000;166.06050;165.64000;165.88000;1450239
2024-04-29 15:45:00;165.87000;166.39999;165.87000;166.14999;3653022
2024-04-30 09:30:00;165.61200;168.10001;165.61200;167.92000;2438257
2024-04-30 09:45:00;167.97501;168.00000;167.00999;167.42500;1043395
2024-04-30 10:00:00;167.42999;167.75999;166.78999;167.09000;1021776
2024-04-30 10:15:00;167.09000;167.20000;166.33000;166.38499;1437544
2024-04-30 10:30:00;166.38000;166.62000;166.11000;166.61000;1381786
2024-04-30 10:45:00;166.61960;166.62000;165.86501;165.96001;960892
2024-04-30 11:00:00;165.95010;165.98000;165.31000;165.41000;974130
2024-04-30 11:15:00;165.39000;165.73000;165.28000;165.45000;696914
2024-04-30 11:30:00;165.45500;165.71001;165.16000;165.36000;740840
2024-04-30 11:45:00;165.36000;165.50000;165.28999;165.32001;550580
2024-04-30 12:00:00;165.30949;165.36000;164.86000;165.22000;881754
2024-04-30 12:15:00;165.19000;165.35120;165.00999;165.17439;527655
2024-04-30 12:30:00;165.17999;165.17999;164.32001;164.33000;677295
2024-04-30 12:45:00;164.28000;164.35001;163.92999;164.34000;771020
2024-04-30 13:00:00;164.35001;164.46010;163.89999;163.95461;702847
2024-04-30 13:15:00;163.95000;164.42000;163.87000;164.28999;580832
2024-04-30 13:30:00;164.29660;164.55341;164.14500;164.39999;609940
2024-04-30 13:45:00;164.42000;164.42000;163.93500;164.06000;747521
2024-04-30 14:00:00;164.05499;164.45309;164.05499;164.35001;506537
2024-04-30 14:15:00;164.33501;164.39999;164.09599;164.09599;485229
2024-04-30 14:30:00;164.13000;164.38000;164.00000;164.23000;537855
2024-04-30 14:45:00;164.23000;164.28329;163.56500;163.58000;839361
2024-04-30 15:00:00;163.57500;163.97861;163.52000;163.82500;1126295
2024-04-30 15:15:00;163.82001;164.28000;163.67000;164.22000;789702
2024-04-30 15:30:00;164.22000;164.30740;163.87000;163.89999;851904
2024-04-30 15:45:00;163.91000;164.23000;162.60001;162.73000;4460076
2024-05-01 09:30:00;164.37000;164.39000;163.09000;163.86000;2075644
2024-05-01 09:45:00;163.86400;164.31000;163.67000;164.28000;1257099
2024-05-01 10:00:00;164.31500;165.28999;164.00000;165.19501;1467228
2024-05-01 10:15:00;165.20000;165.61000;164.98000;165.47000;1163384
2024-05-01 10:30:00;165.49500;165.63000;164.89000;165.30000;752218
2024-05-01 10:45:00;165.31000;165.49500;164.89000;165.14999;589466
2024-05-01 11:00:00;165.14500;165.49001;165.06000;165.27000;624461
2024-05-01 11:15:00;165.28000;165.71001;165.06000;165.64000;622186
2024-05-01 11:30:00;165.63000;165.79500;165.45000;165.75000;482950
2024-05-01 11:45:00;165.75000;165.81000;165.44000;165.57001;546272
2024-05-01 12:00:00;165.58000;165.89000;165.28999;165.78000;601067
2024-05-01 12:15:00;165.78999;165.80499;165.53999;165.67999;594758
2024-05-01 12:30:00;165.67999;165.67999;164.92999;164.96500;614499
2024-05-01 12:45:00;164.96500;165.09000;164.73000;164.80000;732936
2024-05-01 13:00:00;164.81000;164.93500;164.28500;164.37000;688968
2024-05-01 13:15:00;164.39000;164.46750;164.02000;164.25000;719325
2024-05-01 13:30:00;164.25500;164.40500;164.04610;164.28999;643019
2024-05-01 13:45:00;164.28500;164.89999;164.24001;164.89999;835253
2024-05-01 14:00:00;164.89000;165.66000;164.81000;165.03999;1484476
2024-05-01 14:15:00;165.03360;165.34000;164.60001;165.34000;935232
2024-05-01 14:30:00;165.32001;166.28000;164.41000;166.27499;1783569
2024-05-01 14:45:00;166.28999;166.35001;165.64000;166.27000;1102426
2024-05-01 15:00:00;166.28999;167.05930;166.16000;167.05000;1438717
2024-05-01 15:15:00;167.03999;167.12000;166.14000;166.62000;1406115
2024-05-01 15:30:00;166.63000;166.63300;164.60500;164.84000;1453384
2024-05-01 15:45:00;164.82001;165.20000;163.74001;163.75999;3291362
